subject,object,S
Canada,Dollar,"Canada and is known as the ""Gateway to the West"". Winnipeg is bordered by tallgrass prairie to the west and south and the aspen parkland to the northeast, although most of the native prairie grasses have been removed for agriculture and urbanization. It is relatively close to many large Canadian Shield lakes and parks, as well as Lake Winnipeg (the Earth's 11th largest freshwater lake). Winnipeg contains North America's largest extant mature urban elm forest. The city has a total area of 464.08 km2 (179.18 sq mi).
Winnipeg has four major rivers: the Red, Assiniboine, La Salle and Seine. The city was subject to severe flooding in the past. The Red River reached its greatest flood height in 1826. Another large flood occurred in 1950, which caused millions of dollar"
Canada,Dollar,"Canada due to initial distrust of ""army bills"", which were paper notes issued by Brock in response to a currency shortage caused by economic growth.
Brockville and Brock in Ontario, Brock in Saskatchewan, General Isaac Brock Parkway on Highway 405 and Brock University in St. Catharines, Ontario are all named in tribute to Brock. Schools named in his honour include one in Winnipeg, and public schools in Toronto, Guelph, Hamilton, London and Windsor, Ontario. An Ontario Historical Plaque was erected by the province to commemorate Major-General Sir Isaac Brock's role in Ontario's heritage.
In September 2012, the Royal Canadian Mint issued a .99999 pure gold coin with a face value of 350 dollar"
Canada,Dollar,"Canada to Edmonton, Vancouver, and Kelowna. Falle later said of herself and the other women in prostitution she knew, ""I couldn't admit that I was not there by choice. We couldn't live in our own skin if we admitted that. We needed to believe that it was our choice."" Falle's pimp told her he would marry her if she made enough money for him through prostitution. When she had made the amount of money her pimp required, she was 17 years old. The two got married that year.
Falle's pimp regularly beat her and she began to suffer from battered person syndrome. The worst beating she received was in a brothel where she and four other teenagers engaged in prostitution. Over the years that she was married to her pimp, she hoped he would change. She later said that she ""wanted to love him, believe he'd never do it again."" She tried to make him enough money through prostitution to convince him not to find another girl. He threatened her family, and conditioned her not to call the police when he did so. Fear of being labelled a ""snitch"" or ""rat"" prevented her from going to the police. None of the other women she knew in the sex industry were in healthy relationships. At her peak, Falle owned a Ford Mustang, bought her pimp a Mercedes-Benz, and lived in a four-bedroom penthouse apartment, but she continued to experience violence. She used her material possessions to elevate herself above the women around her who were dependent on cocaine; she dismissed them as ""crackheads"" and ""crackhoes"".
Some of the men who purchased sex with Falle were police officers, and she knew girls who used drugs with their drug counselors. Falle was brainwashed to believe that her only worth lay in prostitution, which she later said was why it took her so long to exit prostitution. While engaging in prostitution, Falle was frequently threatened by other women in the sex industry, she was verbally abused by her clients, she was stalked, and she was threatened with guns on multiple occasions, including by her pimp. She was also drugged several times, and was once sexually assaulted by an escort driver after having been drugged by him. At one point, she was kidnapped. She had to resort to pulling a knife on people at times when she was threatened with violence. Because of various instances of violence during her time in prostitution, Falle was injured in a variety of ways. Her pimp broke several of her bones and burned her body.
= = = Effects and aftermath = = =
In order to cope with the psychological trauma of prostitution and violence, Falle became dependent on cocaine. Within two years, she was spending $500 per night on cocaine. Her drug use resulted in delusions and caused her to become schizophrenic, and subsequently distrustful of those around her, fearing that people were coming to take away her drugs.
Eventually, the personal horror stories Falle heard from other women in her situation convinced her that she needed to get out of prostitution. Her substance dependence became so severe that she almost died. Her best friend was killed by her pimp. By this point, many of her friends in the sex industry had died, and she thought that she would be next. One night, Falle was hiding alone in a hotel room when she found a Bible placed there by Gideons International. She began reading the Psalms and later said, ""For the first time I understood what God was saying to me. That night my life began to move in a new direction."" On her 27th birthday, Falle left her husband and returned to her mother. Because of the delusions, Falle did not recognize her mother, thinking she had been replaced with a clone. Falle told her mother about being dependent on cocaine, entering prostitution, and marrying her pimp. Her mother accepted her back. It took several more years before Falle gave up hope that her husband would change.
Falle participated in a diversion program that allowed her to return to school. She said that she required a lot of support in order to fully exit prostitution, and found that support in her mother, her school, and Streetlight Support Services. Falle underwent a month of drug rehabilitation, which convinced her to become a counsellor. She then spent 90 days at the Toronto West Detention Centre and took seven months to finish high school. She went on to graduate from a college and a university. She received a diploma in Wife Assault and Child Advocacy from George Brown College and graduated with honours. To remove the burns her pimp had inflicted on her, she had laser surgery that cost thousands of dollar"
Canada,Dollar,Canada was forced to devalue the Canadian dollar to 92 1 ⁄ 2 US cents; it had previously hovered in the range from 95 cents to par with the United States dollar
Canada,Dollar,"Canada Rebellion of 1837, notwithstanding a brief rebellion led by Dr. Charles Duncombe. Consequently, the British government located its Ontario peninsular garrison there in 1838, increasing its population with soldiers and their dependents, and the business support populations they required. London was incorporated as a town in 1840.
On 13 April 1845, fire destroyed much of London, which was at the time largely constructed of wooden buildings. One of the first casualties was the town's only fire engine. This fire burned nearly 30 acres of land destroying 150 buildings before burning itself out later the same day. One-fifth of London was destroyed and this was the province's first million dollar"
Canada,Dollar,"Canada had a wide range of advanced Arrow variants under development at the time of project cancellation. Frequent mention is made of an Arrow that could have been capable of Mach 3, similar to the Mikoyan-Gurevich MiG-25. This was not the production version, but one of the design studies, and would have been a greatly modified version of the Arrow Mk 2, featuring revised engine inlets and extensive use of carbon steel and titanium to withstand airframe heating. The Mark 2A and Mark 3 were also to have updated engines, capable of producing 39,800 lbf (177 kN) each, increasing the maximum take off weight by 7,700 kg (17,000 lb) and flight ceiling to 70,000 ft.
In 2010, in the context of ongoing controversy surrounding the Lockheed Martin F-35 Lightning II Canadian procurement, as an alternative to continued support of the troubled F-35, a group of individuals began lobbying Ottawa to consider domestic production of an updated version of the Avro Arrow, using modern materials and engines but keeping the Arrow's proven ""basic design"". The group feels that a modernized Arrow would out-perform the F-35 in speed, range and maximum altitude, among others, while admitting that the Arrow lacks the F-35's stealth characteristics. However in 2012, the Harper government publicly rejected the bid, saying the redesigned Arrow program was risky, would take too long to develop, and would be too expensive.
= = = Avro Arrow replicas = = =
A replica Arrow built by Allan Jackson was used in The Arrow, a Canadian Broadcasting Corporation (CBC) production. He began building a full-scale replica of the Arrow in 1989, and was approached by the producers of the Arrow miniseries in 1996, then about 70% complete, who made an offer to complete the construction if the replica could be used for the production. It was used on the miniseries and several public appearances at air shows. The replica was later donated to the Reynolds-Alberta Museum in his home town of Wetaskiwin, Alberta. While in a temporary outdoor collection, it was damaged in a wind storm in 2009. It has since been repaired, but is no longer on public display.
The Avro Museum is building a 2 / 3rds scale, manned, high performance flying replica of the Avro Arrow (officially known as ARROW II) to Canadian Aviation Experimental Aircraft Regulations in order to become an airshow demonstration aircraft. Construction began in October 2007, and by 2012 the fuselage was completed and passed its first MDRA inspection, and now has a serial number. Powered by a pair of Pratt & Whitney JT-15D-4s, the ARROW II will have a top speed of approximately 500 knots and a range of 1,800 miles. Current projections show a final cost of the project at approximately one million dollar"
Canada,Dollar,"Canada can manufacture anything that can be manufactured elsewhere.""
= = = = ""What's a million?"" = = = =
During the debate on Howe's war spending estimates in 1945 (which totalled $1.365 billion), Howe answered an Opposition question on whether such a large sum could be reduced: ""I dare say my honourable friend could cut a million dollars from that amount, but a million dollars from the War Appropriations Bill would not be a very important matter."" Saskatchewan Tory MP John Diefenbaker spoke the following day, and alleged that Howe had said, ""We may save a million dollar"
Canada,Dollar,"Canada that Hamilton reported no damage or casualties at all.
= = Aftermath = =
Consolidating his battered prize, Nielly ordered his squadron to return to Brest without waiting for the British convoys that had been his intended targets: unknown to the French, both the Lisbon and Mediterranean convoys were less than 180 nautical miles (330 km; 210 mi) away from the action. Alexander was in a sinking condition, and it was only with difficulty that the ship was brought back to port afloat. The captured crew were distributed among the French squadron and as a result Bligh was unable to make a full casualty list. He later estimated losses of approximately 40 men killed or wounded aboard Alexander, although French accounts give 28 killed and 30 wounded. British histories reported French casualties in the engagement as the enormous figure of 450 men killed and wounded, although as French historian Charles Rouvier noted in 1868, this is an absurdly inflated total: Rouvier gave French losses as 10 wounded, all on Marat. Bligh was returned to Brest in the custody of Captain Jean François Renaudin, who had commanded the ship Vengeur du Peuple at the Glorious First of June until his ship was sunk. Bligh, who had, unknown to him, been promoted to rear-admiral whilst at sea, later commended Renaudin for his conduct while Bligh was a prisoner and wrote to the Admiralty that he had been treated with ""great Kindness and Humanity"". However, historian Edward Pelham Brenton reported in 1825 that at Brest:
""the populace insulted the prisoners as they marched to their place of confinement: officers and men shared the same lot; they were denied the commonest rations of provisions, and reduced to starvation. A wretched dog that crept into the cells was killed, and his head alone sold for a dollar"
Canada,Dollar,"Canada in research-intensity and fourth in total-research funding, finding that McGill ranks in the top five universities in terms of research dollar"
Canada,Dollar,"Canada the ""Terry Fox Tour"".
The Terry Fox Hall of Fame was established in 1994 to recognize individuals that have made contributions that improved the quality of life of disabled people. The Terry Fox Laboratory research centre was established in Vancouver to conduct leading edge research into the causes and potential cures for cancer.
The Royal Canadian Mint produced a special dollar"
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Brazil,Real,Brazil and rule his former empire as regent during his son's minority. Pedro real
Brazil,Real,"Brazil among the majority of the population to change the form of government, the civilian republicans began pressuring army officers to overthrow the monarchy. They launched a coup d'état, arrested Prime Minister Afonso Celso, Viscount of Ouro Preto and instituted the republic on 15 November 1889. The few people who witnessed what occurred did not real"
Brazil,Real,"Brazil begins to feel the importance of her great position, the part she may play in the world, and is taking measures in a beginner's degree commensurate with that real"
Brazil,Real,"Brazil with naval cadets embarked; with the beginning of the Second World War in September, destroyers had to be sent from Argentina to escort them home.
During the war, both ships were mainly inactive due to Argentine neutrality. Rivadavia undertook a last diplomatic cruise to Trinidad, Venezuela, and Colombia in 1946, but both ships were immobile by 1948. Moreno was stricken from the naval register on 1 October 1956 and was brought to Japan in 1957 for scrapping in a then-world-record 96-day tow. Rivadavia was stricken on 1 February 1957 and scrapped in Italy beginning in 1959. The money gained from selling the two dreadnoughts along with an older armored cruiser, Pueyrredón, was used to buy an aircraft carrier from the United Kingdom, Independencia (ex-Warrior).
= = Specifications = =
The two ships of the Rivadavia class were 594 feet 9 inches (181.28 m) overall and 585 feet (178 m) between perpendiculars. They had a beam of 98 feet 4.5 inches (29.985 m), a normal draft of 27 feet 8.5 inches (8.446 m), and displaced 27,500 long tons (27,900 t) normally and 30,100 long tons (30,600 t) at full load. The ships were staffed by 130 officers and about 1000 enlisted men.
For armament, the Rivadavia class was equipped with a main battery of twelve 12-inch / 50 caliber guns, a secondary battery of twelve 6-inch (155 mm) / 50 and twelve 4-inch (102 mm) / 50 QF, and two 21-inch (533 mm) torpedo tubes.
The 12 ""/ 50 was a Bethlehem development. It was most likely based on the weapon used in the United States' Wyoming-class battleship, the 12"" / 50 caliber Mark 7 gun. The twelve guns were mounted in six dual turrets. Four turrets were superfiring fore and aft, while the other two were located en echelon in wing turrets. The latter weapons could, in theory, fire on a 180 ° range on their respective sides of the hull and 100 ° on the other, but in real"
Brazil,Real,"Brazil as ""tri-fuel"" cars.
Flex-fuel hybrid electric and flex-fuel plug-in hybrid are two types of hybrid vehicles built with a combustion engine capable of running on gasoline, E-85, or E-100 to help drive the wheels in conjunction with the electric engine or to recharge the battery pack that powers the electric engine. In 2007 Ford produced 20 demonstration Escape Hybrid E85s for real"
Brazil,Real,"Brazil added three more in the second half, two of them scored by the multi-sportsman Preguinho. Yugoslavia qualified for the semi-finals.
= = = Group 3 = = =
Hosts Uruguay were in a group with Peru and Romania. The opening match in this group saw the first player expulsion in the competition, when Plácido Galindo of Peru was dismissed against Romania. The Romanians made their man advantage pay; their 3 – 1 win included two late goals. This match had the smallest crowd of any in World Cup history. The official attendance was 2,459, but the actual figure is generally accepted to be around 300.
Because of construction delays at Estadio Centenario, Uruguay's first match was not played until five days into the tournament. The first to be held at the Centenario, it was preceded by a ceremony in honour of the Uruguayan centenary celebrations. The Uruguayan team spent the four weeks preceding the match in a training camp, at which strict discipline was exercised. Goalkeeper Andrés Mazali was dropped from the squad for breaking a curfew to visit his wife. One hundred years to the day of the creation of Uruguay's first constitution, the hosts won a tight match against Peru 1 – 0. Spectators praised Peru's defense, and this turned out to be the only tournament match in which Uruguay scored only one goal. The result was viewed as a poor performance by the Uruguayan press, but lauded in Peru. Uruguay subsequently defeated Romania with ease, scoring four first half goals to win 4 – 0.
= = = Group 4 = = =
The United States dominated the fourth group. The American team, which contained a significant number of new caps, were reputedly nicknamed ""the shot-putters"" by an unnamed source in the French contingent. They beat their first opponents, Belgium, 3 – 0. The ease of the victory was unexpected; Uruguayan newspaper Imparcial wrote that ""the large score of the American victory has real"
Brazil,Real,"Brazil which led to a law approved by Congress that forbade such institutions.
= = = Critical reception = = =
Domestic reception was generally positive. Folha de S.Paulo's deemed it ""a portrait of hell in motion,"" ""painted with such passion, competence and integrity"" which makes it ""both a torment and a pleasure."" The newspaper commented that all Bodanzky's choices are ""unerring"", that the documentary tone ""amplifies the incisiveness of history"" and the natural dialogue, and that ""the absence of proselytism facilitates the entry of the viewer in the universe of characters."" Ivan Claudio of IstoÉ Gente praised all of the cast, including the extras whose ""wandering like zombies in the courtyards of the asylum... contribute to the realistic climate of the film."" He, however, highlighted Santoro, stating that the joint effort of the cast would be meaningless without his performance. Similar comments on the cast were woven by Veja magazine, which also commended ""the feeling of terror."" Santoro and Camilo, as well as the other patient actors, were praised by Marcelo Forlani of Omelete who said, ""It's hard to believe that the actors here are not real"
Brazil,Real,"Brazil also adopted new sustainability policies for sugarcane ethanol, including ""zoning regulation of sugarcane expansion and social protocols"".
= = Oil price moderation = =
Biofuels offer the prospect of real"
Brazil,Real,"Brazil in penalty kicks. Although the team lost to Japan in an intensely close match that ended in penalties, Solo received the Golden Glove award for best goalkeeper as well as the Bronze Ball award for her overall performance at the tournament.
Following her performance at the 2011 World Cup, Solo participated in the television show Dancing with the Stars and posed for various magazines, most notably the ""Body Issue"" of ESPN The Magazine. After the 2012 London Olympics, where she received her second Olympic gold medal, she published her best-selling autobiography Solo: A Memoir of Hope.
As the starting goalkeeper at the 2015 FIFA Women's World Cup, Solo helped the U.S. win the national team's third World Cup championship since 1991. The final was the most-watched televised soccer game ever in the United States.
As of July 22, 2016, Solo holds several U.S. goalkeeper records including appearances (198), starts (187), wins (151), shutouts (100), wins in a season (26), consecutive minutes played (1,256), and longest undefeated streak (55 games).
= = Early life = =
Solo was born in Richland, Washington on July 30, 1981 to Judy Lynn (née Shaw) and Jeffrey Solo. Her father, an Italian-American Vietnam War veteran, who was in and out of her life as a child and teenager, taught her how to play soccer at a young age. When Solo was seven, her father picked her and her brother Marcus up to go to a baseball game in the nearby city of Yakima, but ended up driving over three hours west to Seattle, where they stayed for several days at a hotel. Solo described how it seemed like a vacation at first, but soon realized it was not. Police later found them at a downtown bank and arrested Jeffrey for alleged kidnapping. Although her parents had divorced when she was six and she lived with her mother, Solo maintained a close relationship with her father after re-connecting with him during her college years at the University of Washington. He continued to be a major influence in her life until his death of a heart attack in June 2007.
As a forward at Richland High School, Solo scored 109 goals, leading her team to three consecutive league titles from 1996 to 1998 and a state championship during her senior year. She was twice named a Parade All American. Solo also played club soccer for the Three Rivers Soccer Club in the Tri-Cities.
= = = Washington Huskies, 1999 – 2002 = = =
After being heavily recruited by several colleges around the country, Solo attended the University of Washington from 1999 to 2002 where she majored in speech communications. With the Huskies, she switched permanently to goalkeeper under the lead of head coach Lesle Gallimore and goalkeeper coach and former national team player, Amy Griffin. Solo described the transition in her memoir, ""In high school, I had been the forward who won games. It was a huge mental adjustment to learn that my job was to save games. To anticipate what was needed. Before, I would stand in goal, the ball would come toward me, and I'd use my athletic ability to make the save. But thanks to Amy's tutelage and my time with the national team, I was becoming a much better tactical goalkeeper. I learned how to read my opponents' runs toward goal, how to position my defenders, how to see the angles... The intellectual side also made goalkeeping so much more interesting. It wasn't just ninety minutes of waiting for my defense to make a mistake. It was ninety minutes of tactics and strategy. The personality traits that had been shaped by my childhood — resilience and toughness — were assets at the position.""
Solo became the top goalkeeper in Pac-10 history and finished her collegiate career as Washington ’ s all-time leader in shutouts (18), saves (325) and goals against average (GAA) (1.02). She was a four-time All-Pac-10 selection and was named an NSCAA All-American as a sophomore, junior and senior. During her sophomore year, Solo was named Pac-10 Player of the Year becoming the first Washingtonian and first goalkeeper ever to receive the award. As a senior, she was the only goalkeeper nominated for the Hermann Trophy.
= = Club career = =
= = = WUSA and European professional leagues, 2003 – 05 = = =
Following her college career, Solo was selected in the first round (fourth overall) of the 2003 WUSA Draft by the Philadelphia Charge. She spent most of her first professional season on the bench playing in eight games. Solo started the last three games of the season and earned her first professional shutout against the Atlanta Beat. She also shut out eventual league champions, the Washington Freedom led by top scorers, Mia Hamm and Abby Wambach. After the WUSA folded following the 2003 season just six days before the 2003 FIFA Women's World Cup, Solo moved to Göteborg, Sweden in February 2004 to play for Kopparbergs / Göteborg FC in the Swedish Premier Division, the top division of women's soccer in Sweden. For ten months, she played in two games a week, making 19 appearances in goal for Göteborg in 2004. In 2005, she played for Olympique Lyonnais in the French First Division. She made seven appearances for the French club. Solo said of her experience in Europe, ""I played in Europe and it was a great experience, not just because of my teammates and the coaches we had, but from the fans and the city itself – I played in Gothenburg and I played in Lyon and soccer was everywhere. At that time in my life, it really jump-started my career and really helped me find myself as a person and player.""
= = = The WPS years, 2009 – 11 = = =
= = = = Saint Louis Athletica = = = =
On September 16, 2008, Solo was one of three national team players allocated to the Saint Louis Athletica in the WPS as part of the 2008 WPS Player Allocation, with the new league slated to begin play in April 2009. Solo let in six goals in the first four games as Athletica got off to a very slow 0 – 2 – 2 start in their first season. She conceded eight goals in her next 13 games and finished the season with eight shutouts, helping lead the Athletica from the bottom of the standings to finish second place and secure a playoff spot.
After the 2009 season, Solo was named the WPS Goalkeeper of the Year. She also became the first goalkeeper to be named U.S. Soccer Female Athlete of the Year, the highest honor awarded to a soccer player in the United States.
= = = = Atlanta Beat = = = =
In May 2010, the Saint Louis Athletica folded and Solo signed with WPS expansion team, Atlanta Beat, along with her St. Louis teammates, Tina Ellertson and Eniola Aluko. As her previous jersey number was taken (1), she wore 78 for the Beat. Solo's comments on social networking website Twitter led to two separate controversies after she accused Boston Breakers supporters of offensive chanting and racist remarks toward a teammate, then questioned the integrity of match officials and the league itself following the Beat's 1 – 0 defeat to Washington Freedom. The second outburst resulted in a $2,500 fine and one-game suspension.
Solo played in 22 WPS matches in 2010 for both the Athletica and the Beat and was the league-leader in saves with 104. The two-time WPS All-Star also ranked among the top three in shutouts (6), wins (6), and goals against average (1.64). After the end of the 2010 season, Solo underwent surgery on her right shoulder on September 22. ""These next two years are huge for the national team with the World Cup and Olympics on the horizon and I wanted to make sure that I would be giving my team and my country my best on the field,"" Solo said of the surgery. ""I've been having some painful issues with the shoulder for a while and for a goalkeeper it's been difficult physically and mentally to play with this kind of an injury, so it was time to get it taken care of.""
= = = = magicJack = = = =
Ahead of the 2011 Women's Professional Soccer season, Solo signed for magicJack, formerly the Washington Freedom under new ownership. Between her shoulder surgery recovery, national team commitments and preparation for the 2011 FIFA Women's World Cup, Solo missed a significant part of the season. She made four appearances for the club, tallying a total of 360 minutes. After the season ended, the club lost its franchise on October 25, 2011. The league later suspended operations in early 2012 because of legal and financial difficulties.
= = = Seattle Sounders Women, 2012 = = =
On February 14, 2012, it was announced that Solo had signed with the Seattle Sounders Women. Joining the club the same year were national teammates Alex Morgan, Megan Rapinoe, and Sydney Leroux. Sounders Women general manager, Amy Carnell, said of the signing, ""Hope is undoubtedly the best women's keeper in the game today. Her signing represents the caliber player Sounders Women's fans can expect in 2012. As the landscape of women's soccer continues to evolve, we real"
